head	lemma	derivation	category	new_meaning
H1	kavi	kavi/	praatipadika	Name of Śukra
H1	kavi	kavi/	praatipadika	Name of the planet Venus
H1	kavi	kavi/	praatipadika	Name of the sons of several Manus
H1	kavi	kavi/	praatipadika	Name of a son of Kauśika, pupil of Garga
H1	kavi	kavi/	praatipadika	Name of a son of Ṛṣabha
H1	kavi	kavi/	praatipadika	Name of Vālmīki
H1	kavi	kavi/	praatipadika	a keeper, herd
H1	kavi	kavi/	praatipadika	Name of the gates of the sacrificial enclosure
H1	kavi	kavi/	praatipadika	the sun
H1	kavi	kavi/	praatipadika	of various men
H1	kavi	kavi/	praatipadika	the soul in the Sāṃkhya philosophy
H1	kavi	kavi/	praatipadika	a cunning fighter
H1	kavi	kavi/	praatipadika	an owl
H1	kavi	kavi/	praatipadika	the bit of a bridle
H1	kavi	kavi/	praatipadika	the reins
H1	kavi	kavi/	praatipadika	a ladle
H1	kAla	kAla	praatipadika	black, of a dark colour, dark-blue
H1	kAla	kAla	praatipadika	a black, dark-blue colour
H1	kAla	kAla	praatipadika	the black part of the eye
H1	kAla	kAla	praatipadika	the Indian cuckoo
H1	kAla	kAla	praatipadika	the poisonous serpent Coluber Naga
H1	kAla	kAla	praatipadika	the plant Cassia Sophora
H1	kAla	kAla	praatipadika	a red kind of Plumbago
H1	kAla	kAla	praatipadika	the resin of the plant Shorea robusta
H1	kAla	kAla	praatipadika	the planet Saturn
H1	kAla	kAla	praatipadika	Name of Śiva
H1	kAla	kAla	praatipadika	Name of Rudra
H1	kAla	kAla	praatipadika	Name of a son of Hrada
H1	kAla	kAla	praatipadika	of the prince Kāla-yavana
H1	kAla	kAla	praatipadika	Name of a brother of king Prasena-jit
H1	kAla	kAla	praatipadika	Name of a future Buddha
H1	kAla	kAla	praatipadika	Name of an author of Mantras
H1	kAla	kAla	praatipadika	Name of a Nāga-rāja
H1	kAla	kAla	praatipadika	Name of a Rakṣas
H1	kAla	kAla	praatipadika	Name of an enemy of Śiva
H1	kAla	kAla	praatipadika	Name of a mountain
H1	kAla	kAla	praatipadika	of one of the nine treasures
H1	kAla	kAla	praatipadika	a mystical Name of the letter
H1	kAla	kAla	praatipadika	a black kind of Agallochum
H1	kAla	kAla	praatipadika	a kind of perfume
H1	kAla	kAla	praatipadika	iron
H1	kAla	kAla/	praatipadika	a fixed, right point of time, a space of time, time
H1	kAla	kAla/	praatipadika	the proper time, season for
H1	kAla	kAla/	praatipadika	occasion, circumstance
H1	kAla	kAla/	praatipadika	season
H1	kAla	kAla/	praatipadika	meal-time
H1	kAla	kAla/	praatipadika	hour
H1	kAla	kAla/	praatipadika	a period of time, time of the world
H1	kAla	kAla/	praatipadika	measure of time, prosody
H1	kAla	kAla/	praatipadika	a section, part
H1	kAla	kAla/	praatipadika	the end
H1	kAla	kAla/	praatipadika	death by age
H1	kAla	kAla/	praatipadika	time, destiny, fate
H1	kAla	kAla/	praatipadika	time, death, time of death
H1	kf	kf	dhaatu	a fog
H1	kf	kf	dhaatu	being done
H1	kf	kf	dhaatu	to injure
H1	gam	gam	dhaatu	to go, move, go away, set out, come, to go to, towards, approach, to go, pass, to fall to the share of, to go against with hostile intentions, attack, to decease, die, to approach carnally, have sexual intercourse with, to go to any state, condition, undergo, partake of, participate in, receive, obtain, to go to the earth with the knees, kneel down, to go to the earth with the head, make a bow, to go with the mind, observe, perceive, to observe, understand, guess, to approach with an accusation, ascribe guilt to a person, bring to a place, to cause to go to any condition, cause to become, to impart, grant, to send away,to let go, not care about, to excel, to spend time, to cause to understand, make clear, intelligible, explain, to convey an idea, meaning, denote, to cause a person to go by means of another, to wish to go, be going, to strive to obtain, to wish to bring.
H1	grah	grah	dhaatu	grasp, lay hold of, to eclipse, to abstract, take away, to lay the hand on, claim, to gain, win, obtain, receive, accept, keep, to acquire by purchase, to choose, to choose any one as a wife, to take up, draw water, to pluck, pick, gather, to collect a store of anything, to use, put on, to assume, to place upon, to include, to take on one's self, undertake, undergo, begin, to receive hospitably, take back,to take into the mouth, mention, name, to perceive, observe, recognise, to observe, to receive into the mind, apprehend, understand, learn, to calculate, to accept, admit, approve, to obey, follow, to take for, consider as, to be meant by, to cause to take, seize, lay hold of, to cause to take, to cause to marry, give away a girl in marriage to any one, to cause any one to be captured, to cause any one to be seized, overpowered over to any one, to make any one choose, to make any one learn, make acquainted, familiar with, to be about to seize, take, to be about to eclipse, to be about to take away, to desire to perceive, strive to apprehend, recognise
H1	citra	citra/	praatipadika	conspicuous, excellent, distinguished
H1	citra	citra/	praatipadika	bright, clear, bright-coloured
H1	citra	citra/	praatipadika	clear
H1	citra	citra/	praatipadika	variegated, spotted, speckled
H1	citra	citra/	praatipadika	agitated
H1	citra	citra/	praatipadika	various, different, manifold
H1	citra	citra/	praatipadika	having different varieties
H1	citra	citra/	praatipadika	strange, wonderful
H1	citra	citra/	praatipadika	containing the word
H1	citra	citra	praatipadika	leaping to, fro
H1	citra	citra/	praatipadika	variety of colour, 
H1	citra	citra/	praatipadika	Plumbago zeylanica
H1	citra	citra/	praatipadika	Ricinus communis
H1	citra	citra/	praatipadika	Jonesia Aśoka
H1	citra	citra/	praatipadika	a form of Yama
H1	citra	citra/	praatipadika	Name of a king
H1	citra	citra/	praatipadika	Name of a Jābāla-gṛhapati
H1	citra	citra/	praatipadika	Name of a king
H1	citra	citra/	praatipadika	Name of a son of Dhṛtarāṣṭra
H1	citra	citra/	praatipadika	Name of a Draviḍa king
H1	citra	citra/	praatipadika	Name of a Gandharva
H1	citra	citra/	praatipadika	anything bright, coloured which strikes the eyes
H1	citra	citra/	praatipadika	a brilliant ornament, ornament
H1	citra	citra/	praatipadika	a bright, extraordinary appearance, wonder
H1	citra	citra/	praatipadika	strange, curious
H1	citra	citra/	praatipadika	strange!
H1	citra	citra/	praatipadika	the ether, sky
H1	citra	citra/	praatipadika	a spot
H1	citra	citra/	praatipadika	a sectarial mark on the forehead
H1	citra	citra/	praatipadika	a picture, sketch, delineation
H1	citra	citra/	praatipadika	variety of colour
H1	citra	citra/	praatipadika	a forestof variegated appearance  on
H1	citra	citra/	praatipadika	various modes of writing, arranging verses in the shape of mathematical, other fanciful figures
H1	citra	citra/	praatipadika	punning in the form of question, answer, facetious conversation, riddle
H1	tatas	ta/tas	praatipadika	from that place, thence
H1	tatas	ta/tas	praatipadika	in that place, there
H1	tatas	ta/tas	praatipadika	thither
H1	tatas	ta/tas	praatipadika	thereupon, then, after that, afterwards
H1	tatas	ta/tas	praatipadika	from that, in consequence of that, for that reason, consequently
H1	tatas	ta/tas	praatipadika	but, how is it then that?
H1	tatas	ta/tas	praatipadika	immediately afterwards
H1	tatas	ta/tas	praatipadika	beyond that
H1	tatas	ta/tas	praatipadika	besides that, further
H1	tatas	ta/tas	praatipadika	thereupon, afterwards
H1	tatas	ta/tas	praatipadika	thereupon, afterwards
H1	tatas	ta/tas	praatipadika	thenceforth
H1	tatas	ta/tas	praatipadika	what then? what took place after that?
H1	tatas	ta/tas	praatipadika	from that, that place, here, there, hither, thither, from all sides, to everyplace, everywhere
H1	tatas	ta/tas	praatipadika	to that place
H1	tatas	ta/tas	praatipadika	to another place than that, to some other place
H1	tatas	ta/tas	praatipadika	afterwards, at another time
H1	tad	ta/d	praatipadika	he she it, that, this
H1	tad	ta/d	praatipadika	this world
H1	tad	ta/d	praatipadika	Brahma
H1	tad	ta/d	praatipadika	there, in that place, thither, to that spot
H1	tad	ta/d	praatipadika	then, at that time, in that case
H1	tad	ta/d	praatipadika	thus, in this manner, with regard to that
H1	tad	ta/d	praatipadika	with reference to that there are these two verses
H1	tad	ta/d	praatipadika	on that account, for that reason, therefore, consequently
H1	tad	ta/d	praatipadika	now
H1	tad	ta/d	praatipadika	so also, equally
H1	tad	tad	praatipadika	this, that, various, different
H1	tad	tad	praatipadika	respective
H1	tad	tad	praatipadika	on quite the same path
H1	tad	tad	praatipadika	whosoever, whichsoever, any, every
H1	tad	tad	praatipadika	even then, nevertheless, notwithstanding
H1	tad	tad	praatipadika	in such a manner as follows, namely, namely, in other words. From Latin videlicet
H1	tu	tu	dhaatu	to have authority, be strong, to go, to injure, to make strong, efficient
H1	tu	tu/	avyaya	pray! I beg, do, now, then, Latindum used
H1	tu	tu/	avyaya	but
H1	tu	tu/	avyaya	often incorrectly written for
H1	tu	tu/	avyaya	sometimes used as a mere expletive
