head	lemma	derivation	category	new_meaning
H1	yuj	yu/j	dhaatu	a sage who devotes his time to abstract contemplation
H1	yuj	yu/j	dhaatu	a pair, couple, the number two
H1	yuj	yu/j	dhaatu	dual, the two Aśvins
H1	yuj	yu/j	dhaatu	the zodiacal sign Gemini
H1	yoga	yo/ga	praatipadika	the act of yoking, joining, attaching, harnessing, putting to
H1	yoga	yo/ga	praatipadika	a yoke, team, vehicle, conveyance
H1	yoga	yo/ga	praatipadika	employment, use, application, performance
H1	yoga	yo/ga	praatipadika	equipping, arraying
H1	yoga	yo/ga	praatipadika	fixing
H1	yoga	yo/ga	praatipadika	putting on
H1	yoga	yo/ga	praatipadika	a remedy, cure
H1	yoga	yo/ga	praatipadika	a means, expedient, device, way, manner, method
H1	yoga	yo/ga	praatipadika	a supernatural means, charm, incantation, magical art
H1	yoga	yo/ga	praatipadika	a trick, stratagem, fraud, deceit
H1	yoga	yo/ga	praatipadika	undertaking, business, work
H1	yoga	yo/ga	praatipadika	acquisition, gain, profit, wealth, property
H1	yoga	yo/ga	praatipadika	occasion, opportunity
H1	yoga	yo/ga	praatipadika	any junction, union, combination, contact with, to agree, consent, acquiesce in anything
H1	yoga	yo/ga	praatipadika	mixing of various materials, mixture
H1	yoga	yo/ga	praatipadika	partaking of, possessing
H1	yoga	yo/ga	praatipadika	connection, relation, at the end of a compound in consequence of, on account of, by reason of, according to, through
H1	yoga	yo/ga	praatipadika	putting together, arrangement, disposition, regular succession
H1	yoga	yo/ga	praatipadika	fitting together, fitness, propriety, suitability
H1	yoga	yo/ga	praatipadika	exertion, endeavour, zeal, diligence, industry, care, attention
H1	yoga	yo/ga	praatipadika	application, concentration of the thoughts, abstract contemplation, meditation, self-concentration, abstract meditation, mental abstraction practised as a system
H1	yoga	yo/ga	praatipadika	any simple act, rite conducive to Yoga, abstract meditation
H1	yoga	yo/ga	praatipadika	Yoga personified
H1	yoga	yo/ga	praatipadika	a follower of the Yoga system
H1	yoga	yo/ga	praatipadika	the union of soul with matter
H1	yoga	yo/ga	praatipadika	the union of the individual soul with the universal soul
H1	yoga	yo/ga	praatipadika	devotion, pious seeking after God
H1	yoga	yo/ga	praatipadika	contact, mixing with the outer world
H1	yoga	yo/ga	praatipadika	conjunction, lucky conjuncture
H1	yoga	yo/ga	praatipadika	a constellation, asterism
H1	yoga	yo/ga	praatipadika	the leading, principal star of a lunar asterism
H1	yoga	yo/ga	praatipadika	Name of a variable division of time
H1	yoga	yo/ga	praatipadika	addition, sum, total
H1	yoga	yo/ga	praatipadika	the connection of words together, syntactical dependence of a word, construction
H1	yoga	yo/ga	praatipadika	a combined, concentrated grammatical rule, aphorism, 
H1	yoga	yo/ga	praatipadika	the connection of a word with its root, original, etymological meaning, 
H1	yoga	yo/ga	praatipadika	a violator of confidence, spy
H1	yoga	yo/ga	praatipadika	Name of a  on the Paramārthasāra
H1	rasa	ra/sa	praatipadika	the sap, juice of plants, juice of fruit, any liquid, fluid, the best, finest, prime part of anything, essence, marrow
H1	rasa	ra/sa	praatipadika	water, liquor, drink
H1	rasa	ra/sa	praatipadika	juice of the sugar-cane, syrup
H1	rasa	ra/sa	praatipadika	any mixture, draught, elixir, potion
H1	rasa	ra/sa	praatipadika	melted butter
H1	rasa	ra/sa	praatipadika	milk
H1	rasa	ra/sa	praatipadika	poison
H1	rasa	ra/sa	praatipadika	nectar
H1	rasa	ra/sa	praatipadika	soup, broth
H1	rasa	ra/sa	praatipadika	a constituent fluid, essential juice of the body, serum, the primary juice called chyle
H1	rasa	ra/sa	praatipadika	mercury, quicksilver
H1	rasa	ra/sa	praatipadika	semen virile
H1	rasa	ra/sa	praatipadika	myrrh
H1	rasa	ra/sa	praatipadika	any mineral, metallic salt
H1	rasa	ra/sa	praatipadika	a metal, mineral in a state of fusion
H1	rasa	ra/sa	praatipadika	gold
H1	rasa	ra/sa	praatipadika	Vangueria Spinosa
H1	rasa	ra/sa	praatipadika	a species of amaranth
H1	rasa	ra/sa	praatipadika	green onion
H1	rasa	ra/sa	praatipadika	resin
H1	rasa	ra/sa	praatipadika	a kind of metre
H1	rasa	ra/sa	praatipadika	taste, flavour
H1	rasa	ra/sa	praatipadika	Name of the number six
H1	rasa	ra/sa	praatipadika	any object of taste, condiment, sauce, spice, seasoning
H1	rasa	ra/sa	praatipadika	the tongue
H1	rasa	ra/sa	praatipadika	taste, inclination, fondness for, love, affection, desire
H1	rasa	ra/sa	praatipadika	charm, pleasure, delight
H1	rasa	ra/sa	praatipadika	the taste, character of a work, the feeling, sentiment prevailing in it
H1	rasa	ra/sa	praatipadika	the prevailing sentiment in human character
H1	rasa	ra/sa	praatipadika	disposition of the heart, mind, religious sentiment
H1	rasa	ra/sa	praatipadika	the son of a Niṣāda, a Śanakī
H1	rasa	ra/sa	praatipadika	Name of the sacred syllable, Om
H1	rUpa	rUpa/	praatipadika	any outward appearance, phenomenon, colour, form, shape, figure
H1	rUpa	rUpa/	praatipadika	dreamy, phantom shapes
H1	rUpa	rUpa/	praatipadika	handsome form, loveliness, grace, beauty, splendour
H1	rUpa	rUpa/	praatipadika	nature, character, peculiarity, feature, mark, sign, symptom
H1	rUpa	rUpa/	praatipadika	likeness, image, reflection
H1	rUpa	rUpa/	praatipadika	circumstances
H1	rUpa	rUpa/	praatipadika	sort, kind
H1	rUpa	rUpa/	praatipadika	mode, manner, way
H1	rUpa	rUpa/	praatipadika	trace of
H1	rUpa	rUpa/	praatipadika	a single specimen, exemplar
H1	rUpa	rUpa/	praatipadika	a particular coin
H1	rUpa	rUpa/	praatipadika	a show, play, drama
H1	rUpa	rUpa/	praatipadika	the arithmetical unit
H1	rUpa	rUpa/	praatipadika	integer number
H1	rUpa	rUpa/	praatipadika	known, absolute number, a known quantity as having specific form
H1	rUpa	rUpa/	praatipadika	any form of a noun, verb
H1	rUpa	rUpa/	praatipadika	the quality of colour
H1	rUpa	rUpa/	praatipadika	material form id est, that is the organized body
H1	rUpa	rUpa/	praatipadika	a reflection, remark made under particular circumstances when the action is at its height
H1	rUpa	rUpa/	praatipadika	cattle
H1	rUpa	rUpa/	praatipadika	a beast
H1	rUpa	rUpa/	praatipadika	a sound, word
H1	rUpa	rUpa/	praatipadika	rereading a book
H1	rUpa	rUpa/	praatipadika	a word of unknown meaning
H1	rUpa	rUpa/	praatipadika	Name of a people
H1	rUpa	rUpa/	praatipadika	Name of a place
H1	vac	vac	dhaatu	to speak, say, tell, utter, announce, declare, mention, proclaim, recite, describe, to reproach, revile, to be spoken, said, told, uttered, what the saying is, to resound, to be called, accounted, be regarded as, pass for, to cause to say, speak, recite, pronounce, to cause anything written, to read out loud, to say, tell, declare, to promise, to desire to say, speak, recite, proclaim, declare, to be meant, to call, cry aloud
H1	sarva	sa/rva	praatipadika	whole, entire, all, every
H1	sarva	sa/rva	praatipadika	of all sorts, manifold, various, different
H1	sarva	sa/rva	praatipadika	altogether, wholly, completely, in all parts, everywhere
H1	sarva	sa/rva	praatipadika	Name of Śiva
H1	sarva	sa/rva	praatipadika	Name of Kṛṣṇa
H1	sarva	sa/rva	praatipadika	Name of a Muni
H1	sarva	sa/rva	praatipadika	Name of a people
H1	sarva	sa/rva	praatipadika	water
H1	saha	saha/	praatipadika	powerful, mighty
H1	saha	saha/	praatipadika	overcoming, vanquishing
H1	saha	saha/	praatipadika	bearing, enduring, withstanding, defying, equal to, a match for
H1	saha	saha/	praatipadika	causing, effecting, stimulating, exerting
H1	saha	saha/	praatipadika	able to, capable of
H1	saha	saha/	praatipadika	the month Mārgaśīrṣa
H1	saha	saha/	praatipadika	a particular Agni
H1	saha	saha/	praatipadika	a species of plant
H1	saha	saha/	praatipadika	Name of a son of Manu
H1	saha	saha/	praatipadika	Name of a son of Prāṇa, Ūrjasvatī
H1	saha	saha/	praatipadika	Name of a son of Dhṛtarāṣṭra
H1	saha	saha/	praatipadika	Name of a son of Kṛṣṇa, Mādrī
H1	saha	saha/	praatipadika	a companion
H1	saha	saha/	praatipadika	kind of salt
H1	saha	saha/	avyaya	together with, along with, with, to take with one with, to give to take away with one, taking with one, in the company of
H1	saha	saha/	avyaya	in common, in company, jointly, conjointly, in concert
H1	saha	saha/	avyaya	at the same time, simultaneously with
H1	su	su	dhaatu	to go, move
H1	su	su	dhaatu	to urge, impel, incite, to possess supremacy
H1	su	su	dhaatu	to press out, extract, to distil
H1	su	su	dhaatu	to beget, bring forth
H1	su	su/	upasarga	to become, to lengthen a preceding vowel, good, excellent, right, virtuous, beautiful, easy, well, rightly, much, greatly, very, any, easily, willingly, quickly
H1	han	han	naama-dhaatu	to strike, beat, pound, hammer, strike upon, to smite, slay, hit, kill, mar, destroy, to put to death, cause to be executed, to strike off, to ward off, avert, to hurt, wound, to hurl upon, to touch, come into contact, to obstruct, hinder, to repress, give up, abandon, to be struck, killed, to cause to be slain, killed, kill, slay, put to death, punish, to notify a person's death, to mar, destroy, to wish to kill, destroy, to strike or tread upon, to slay, kill, to dispel, destroy, to hurt, injure, wound
H1	han	han	dhaatu	killing, a killer, slayer
H1	hari	hari	praatipadika	bearing, carrying
H1	hari	ha/ri	praatipadika	fawn-coloured, reddish brown, brown, tawny, pale yellow, yellow, fallow, bay, green, greenish
H1	hari	ha/ri	praatipadika	yellow, reddish brown, green
H1	hari	ha/ri	praatipadika	a horse, steed
H1	hari	ha/ri	praatipadika	a lion
H1	hari	ha/ri	praatipadika	the sign of the zodiac Leo
H1	hari	ha/ri	praatipadika	the sun
H1	hari	ha/ri	praatipadika	Name of Yama
H1	hari	ha/ri	praatipadika	a monkey
H1	hari	ha/ri	praatipadika	a ray of light, the moon, Phaseolus Mungo, a jackal, a parrot, a peacock, the Koil or Indian cuckoo, a goose, a frog, a snake, fire
H1	hari	ha/ri	praatipadika	the wind, Name of Vāyu
H1	hari	ha/ri	praatipadika	Name of Indra
H1	hari	ha/ri	praatipadika	Name of Viṣṇu-Kṛṣṇa
H1	hari	ha/ri	praatipadika	Name of Brahmā
H1	hari	ha/ri	praatipadika	Name of Śiva
H1	hari	ha/ri	praatipadika	Name of Śukra
H1	hari	ha/ri	praatipadika	Name of Suparṇa
H1	hari	ha/ri	praatipadika	Name of a Dānava
H1	hari	ha/ri	praatipadika	Name of a son of Garuḍa
H1	hari	ha/ri	praatipadika	Name of a Rākṣasa
H1	hari	ha/ri	praatipadika	Name of a mountain
H1	hari	ha/ri	praatipadika	Name of a son of Akampana
H1	hari	ha/ri	praatipadika	Name of a son of Tārakākṣa
H1	hari	ha/ri	praatipadika	Name of a son of Parājit
H1	hari	ha/ri	praatipadika	Name of a son of Parāvṛt
H1	hari	ha/ri	praatipadika	Name of a worshipper of Viṣṇu
H1	hari	ha/ri	praatipadika	Name of various authors, scholars
H1	hari	ha/ri	praatipadika	Name of a metre
H1	hari	ha/ri	praatipadika	Name of a world
H1	hari	ha/ri	praatipadika	Name of a particular high number
H1	hari	ha/ri	praatipadika	a particular class of gods under Manu Tāmasa
H1	hari	ha/ri	praatipadika	men, people
H1	hari	hari	praatipadika	an exclamation
H1	hi	hi	dhaatu	to send forth, set in motion, impel, urge on, hasten on, to stimulate, incite to, to assist, help to, to discharge, hurl, cast, shoot, to convey, bring, procure, to forsake, abandon, get rid of,to gladden, delight
H1	hi	hi/	dhaatu	for, because, on account of
H1	hi	hi/	avyaya	just, pray, do
H1	hi	hi/	dhaatu	indeed, assuredly, surely, of course, certainly, most assuredly, indeed-but, often a mere expletive, especially to avoid a hiatus, sometimes repeated in the same sentence, an interjection of envy and contempt and hurry
